Fakultas,Jurusan,Kelas,Asal kampus,Apa minat kamu?
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,Saya ingin mempelajari lebih dalam tentang semua yang ada di IT karena saya belum menemukan passion saya 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,"Saya ingin memperdalam ilmu komputer berdasarkan pengalaman project, dan berminat untuk menjadi seorang Programmer atau Developer."
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,"Minat saya dalam bidang IT yaitu pada bidang website development dan juga tertarik pada bidang application development.
"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,2KA##,Universitas Gunadarma,saya tertarik dalam hal internet security dan juga UI/UX
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Saat ini saya memiliki minat dalam bidang web development dan UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,UI/UX dan data saince
Teknik Informatika,Sistem Informasi,-,Universitas Nusa Mandiri,Saya minat dibidang UI/UX namun inginn bisa menjadi seorang fullstack developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,UI/UX
Fakultas Teknologi Industri,Teknik  Informatika,2IA##,Universitas Gunadarma,programming
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,saya tidak memiliki cukup banyak pengetahuan dalam bidang IT tapi saya memiliki minat untuk mengetahui berbagai macam bahasa pemrograman 
Fakultas Ekonomi,Manajemen,1EA##,Universitas Gunadarma,Pada zaman era digital ini saya semakin yakin bahwa teknologi akan semakin dibutuhkan dalam waktu 5 tahun kedepan. Jadi saya ingin mengembangkan soft skill dan hard skill saya bersama Google Developer Student Club
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3ka##,Universitas Gunadarma,Saya minat dalam bidang web
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Komputer,3KB##,Universitas Gunadarma,Untuk saat ini saya ingin belajar WebDev baik dari UI/UX atau backend programming-nya.
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,-,Universitas Darma Persada,"UI/UX,Frontend programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Saya berminat sebenarnya dalam game developer dan design 
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Minat saya di UI/UX dan juga App Developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Minat belajar programming 
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,Software Development
Fakultas Teknologi Industri,Teknik  Informatika,1IA##,Universitas Gunadarma,UI/UX karena lebih tertarik dan ingin mencoba di bidang tersebut
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,Backend programming
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Web Designer(walaupun agak kurang ngerti tapi suka aja mendesign sesuatu)
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,3KA##,Universitas Gunadarma,Backend programming
Teknik,Teknik  Informatika,-,Universitas Muhammadiyah Prof. Dr.Hamka,"Data science, backend programming"
Fakultas Ilmu Komputer dan Teknologi Informasi,Manajemen,1DB##,Universitas Gunadarma,Google Developer
Fakultas Ilmu Komputer dan Teknologi Informasi,Sistem Informasi,1KA##,Universitas Gunadarma,software developer
